time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1886.16,2921.91,3446.29
0.04,0,62.89,1889.26,2959.32,4353.55
0.05,0,58.62,1919.75,3110.73,3795.37
0.06,0,57.15,1819.43,2591.05,3361.41
0.07,0,57.45,1852.75,2970.74,3164.28
0.08,0,56.75,1858.72,2979.4,3574.46
0.09,0,59.24,1785.37,2923.45,3043.58
0.1,0,60.14,1824.38,2933.32,3698.16
0.11,0,56.95,1816.26,2802.14,3144.21
0.12,0,56.19,1825.66,2779.51,3363.18
0.13,0,57.03,1882.22,2760.05,3574.38
0.14,0,59.55,1936.83,3008.08,3365.49
0.15,0,64.38,1862.39,2742.97,3326.11
0.16,0,76.13,387.43,1861.04,2895.86
0.17,153.38,83.27,490.19,1849.47,2606.21
0.18,153.41,86.02,499.47,1896.1,2713.22
0.19,152.88,86.13,521.42,1960.97,2825.68
0.2,152.81,85.76,552.72,2002.09,2827.58
0.21,153.54,86.06,536.98,2052.37,2835.31
0.22,154.79,86.45,534.79,2093.75,2830.51
0.23,156.62,86.67,531.48,2131.42,2809.72
0.24,158.47,86.73,516.49,2113.24,2815.55
0.25,159.85,86.96,504.47,2135.04,2830.45
0.26,161.64,87.22,510.79,2141.82,2876.82
0.27,163.57,87.87,510.15,2126.56,2817.41
0.28,165.38,88.9,504.56,2089,2789.26
0.29,167.74,89.03,509.85,2052.92,2850.01
0.3,170.82,88,526.3,1980.09,2660.93
0.31,172.81,86.77,551.56,1914.66,2525.29
0.32,174.14,86.23,568.84,1873.22,2496.29
0.33,175.86,86.3,599.36,1846.09,2454.06
0.34,178.42,86.82,580.48,1806.33,2570.14
0.35,181.86,86.45,603.82,1772.07,2280.93
0.36,186.24,86.26,578.92,1713.63,2262.95
0.37,189.74,86.24,570.03,1698.14,2094.46
0.38,193.56,86.02,564.46,1687.27,2060.33
0.39,198.31,85.56,567.12,1610.68,1975.78
0.4,203.43,86.08,566.47,1606.21,1890.75
0.41,207.62,86.18,565.21,1616.17,1870.43
0.42,211,85.05,588.21,1600.23,1864.69
0.43,214.56,84.09,576.81,1613.13,1788.26
0.44,217.7,84.73,521.99,1616.39,1760.22
0.45,219.75,85.07,487.83,1586.23,1764.42
0.46,221.65,84.65,491.94,1556.78,1767.11
0.47,224.09,84.6,490.47,1512.19,1787.43
0.48,228.03,84.32,542.42,1470.36,1800.76
0.49,0,83.09,529.58,1503.8,1834.1
0.5,0,82.72,546.77,1519.18,1796.55
0.51,0,82.78,543.46,1486.56,1826.75
0.52,0,82.08,591.07,1554.58,1909.42
0.53,0,81.18,603.97,1534.68,1941.69
0.54,0,76.23,582.89,1521.4,1956.71
0.55,0,71.26,545.86,1555.25,1974.3
0.56,0,70.24,530.61,1520.14,2012.37
0.57,0,69.99,540.77,1496.51,1951.54
0.58,0,69.66,531.83,1457.38,1914.45
0.59,0,69.31,562.51,1537.56,1924.04
0.6,0,68.31,575.26,1646.15,2103.95
0.61,0,66.82,544.06,1486.46,1846.94
0.62,0,65.89,561.9,1527.7,1831.73
0.63,0,63.51,575.53,1608.17,2289.24
0.64,0,60.52,539.14,1540.75,2356.19
0.65,0,60.5,550.38,1582.06,2494.56
0.66,0,67.15,559.37,1794.92,2960.43
0.67,138.45,75.98,696.61,1841.27,2898.78
0.68,137.79,81.77,715.87,1811.8,2912.82
0.69,137.67,84.94,719.75,1791.38,2912.72
0.7,138.12,86.03,668.85,1788.17,2923.89
0.71,139.33,85.74,642.57,1805.19,2910.26
0.72,139.88,84.84,610.94,1801.14,2952.13
0.73,139.79,83.9,592.13,1789.08,2943.17
0.74,139.39,82.06,551.86,1769.48,2951.55
0.75,138.79,80.29,432.17,1774.53,2887.62
0.76,138.65,79.67,453.55,1848.05,2862.14
0.77,138.6,79.53,439,1848.31,2841.08
0.78,138.46,79.3,414.9,1860.7,2823.63
0.79,138.44,78.94,412.23,1899.07,2830.96
0.8,138.67,78.62,409.91,1909.43,2825.23
0.81,138.93,78.13,372.44,1844.78,2823.72
0.82,138.48,76.83,375.27,1797.27,2860.63
0.83,137.17,73.73,365.67,1673.59,2923.02
