time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1526.44,2837.91,3826.18
0.04,0,58.71,1689.84,3070.63,3589.95
0.05,0,55.99,176.73,1774.44,2887.42
0.06,0,57.75,137.53,1806.63,2757.26
0.07,0,59.77,1890.75,2803.26,4044.71
0.08,0,59.9,159.54,2043.73,2710.28
0.09,0,60.41,1576.28,2461.46,3633.22
0.1,0,59.34,2105.55,3256.11,4086.64
0.11,0,59.31,2103.78,3156.17,4460.21
0.12,0,61.93,580.4,2323.27,3612.85
0.13,0,63.13,126.18,1835.04,2976.24
0.14,0,63.5,107.73,1864.41,3040.16
0.15,0,63.72,831.61,2466.71,3578.24
0.16,482.99,63.03,1069.95,2358.3,3083.29
0.17,481.85,65.35,1080.82,2472.55,2984.22
0.18,481.25,67.89,639.36,2358.98,2659.79
0.19,0,69.48,573,2402.37,2686.12
0.2,0,68.22,545.92,2388.81,2849.62
0.21,0,66.43,402.52,2309.32,2792.77
0.22,0,67.36,509.78,2305.36,2670.9
0.23,0,69.21,589.7,2015.95,2611.42
0.24,0,74.66,761.9,2146.89,2652.05
0.25,0,82.18,632.78,1746.09,2379.99
0.26,167.8,85.86,650.74,1733.91,2345.9
0.27,167.86,86.23,630.19,1658.89,2297.63
0.28,168.36,84.99,602.05,1642.29,2305.76
0.29,168.15,83.47,556.44,1670.4,2372.86
0.3,166.43,81.03,520.18,1738.07,2469.18
0.31,165.74,75.83,538.17,1633.21,2474.96
0.32,167.7,70.82,555.38,1802.52,2171
0.33,168.2,68.53,548.45,1750.41,2262.8
0.34,0,68.24,511.77,1650.89,2424.36
0.35,364.25,69.64,449.11,1612.33,2468.76
0.36,396.82,69.83,442.95,1703.28,2799
0.37,402.49,68.62,506.97,1910.72,2980.56
0.38,0,68.43,530.02,2402.6,3351.7
0.39,0,68.28,582.23,2239.21,3365.63
0.4,0,68.62,430.49,2114.72,3180.59
0.41,0,70.23,667.74,2433.07,3624.22
0.42,0,70.23,712.66,2874.83,3809.65
0.43,483.77,69.25,741.46,2494.07,3668.92
0.44,485.31,68.87,533.31,2130.64,3596.32
0.45,487.07,67.26,534.07,2026.96,3386.97
0.46,487.35,64.61,541.4,2080.39,3285.27
0.47,483.23,64.28,459.85,2163.82,3539.19
0.48,481.54,63.72,521.98,1950.84,3055.86
0.49,484.04,62.4,190.92,1819.01,2921.95
0.5,484.99,61.85,750.32,2180.83,3562.04
0.51,0,66.11,534.71,2085.33,2915.26
0.52,159.73,75.21,451.83,1323.92,2834.72
0.53,157.47,79.58,572.11,1391.54,2752.04
0.54,153.6,80.44,634.21,1333.56,2521.65
0.55,149.28,80.27,638.35,1318.11,2587.48
0.56,145.62,79.11,611.05,1244.04,2623.55
0.57,143.44,77.13,592.77,1170.95,2342.88
0.58,141.47,76.03,415.86,1293.83,2479.62
0.59,138.02,76.24,344.85,1331.63,2503.39
0.6,136.04,76.58,269.27,1017.95,2508.01
0.61,134.41,76.72,316.23,1344.34,2507.21
0.62,132.53,76.74,342.89,1252,2567.01
0.63,130.13,76.76,358.43,1301.1,2582.79
0.64,128.09,76.46,462.17,1865.61,2566.22
0.65,126.07,76.36,593.46,1935.38,2561.91
0.66,123.69,76.91,238.53,1415.88,2587.34
0.67,121.19,77.45,241.85,1173.24,2560.75
0.68,118.33,77.56,247.8,1324.05,2436
0.69,114.81,76.65,260.63,1328.9,2403.89
0.7,111.57,74.7,298.58,1413.57,2460.57
0.71,109.66,72.58,326.24,1492.77,2502.32
0.72,108.9,71.4,304.95,1645.48,2583.28
0.73,110.42,71.17,278.79,1586.85,2644.5
0.74,111.64,69.72,258.96,1758.32,2744.14
0.75,113.74,67.18,295.32,1886.72,2833.45
0.76,0,66.84,321.36,1908.93,2713.23
0.77,0,68.22,300.35,2184.1,2521.59
0.78,0,68.03,253.68,2098.56,3299.07
0.79,115.98,69.64,275.5,1922.87,2978.55
0.8,118.17,72.48,325.18,1882.28,2664.59
0.81,118.57,75.39,335.23,1912.01,2544.95
0.82,118.89,78,343.31,1947.32,2500.56
0.83,119.57,79.55,338.05,2003.53,2512.68
