time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,59.52,2135.78,2881.76,4297.34
0.04,0,61.27,1831.35,2769.23,4166.19
0.05,0,63.98,1795.15,2811.55,3993.72
0.06,0,63.72,1720.17,2731.91,3973.66
0.07,0,62.45,1803.06,2788.35,3989.94
0.08,0,62.57,1785.19,2958.81,4157.09
0.09,0,64.49,1501.11,2345.11,3450.3
0.1,0,63.09,1718.93,3046.74,3804.51
0.11,0,63.16,1728.09,2960.28,4035.76
0.12,0,63.13,1790.6,2803.65,3948.57
0.13,0,59.64,1627.65,2770.45,3894.31
0.14,494.44,62.41,707.91,2207.81,3096.35
0.15,484.88,63.85,544.84,1978.28,3007.58
0.16,481.98,61.43,642.92,2022.53,3025.56
0.17,0,59.58,742.8,2287.74,3136.44
0.18,0,59.85,778.74,2715.52,3050.54
0.19,0,62.84,766.53,3079.85,3154.41
0.2,0,71.66,652.82,2869.94,3298.2
0.21,157.52,80.91,449.62,782.07,2950.86
0.22,157.05,85.4,481.47,810.59,2827.29
0.23,156.79,86.54,473.62,808.1,2879.75
0.24,156.88,86.21,464.48,800.22,2930.77
0.25,157.2,85.08,454.27,790.09,2946.19
0.26,157.8,84.01,450.99,774.65,2938.86
0.27,158.34,83.62,449.77,775.62,2963.94
0.28,158.54,83.35,455.78,791.56,2924.74
0.29,158.78,83.46,458.91,804.43,2945.32
0.3,159.88,84.14,485.59,844.09,2873.78
0.31,161.41,85.08,491.81,856.37,2695.34
0.32,162.23,85.55,509.29,983.67,2649.97
0.33,161.75,85.93,502.27,1242.3,2501.75
0.34,160.5,85.72,490.77,1526.17,2404.59
0.35,159.17,84.06,480.89,1638.39,2195.18
0.36,158.03,81.46,481.84,2159.56,3074.17
0.37,157.53,80.2,511.8,2233.68,2668.42
0.38,157.02,80.05,519.48,2273.29,3017.55
0.39,155.77,79.87,483.82,2319,3092.76
0.4,154.2,79.79,498.43,2300.69,3005.18
0.41,152.84,79.73,467.92,2300.84,3047.72
0.42,151.1,79.62,428.32,2235.26,2999.9
0.43,148.63,78.97,383.94,2142.91,2453.58
0.44,146.94,78.65,403.31,2052.28,2242.06
0.45,145.92,79.28,429.65,1979.99,2112.97
0.46,144.9,80.13,436.15,1873.47,2011.48
0.47,143.43,80.59,440.31,1771.52,1959.36
0.48,141.81,80.31,430.95,1684.52,1948.54
0.49,140.59,80.09,431.44,1602.42,1906.18
0.5,139.31,80.05,437.33,1522.76,1943.67
0.51,137.54,79.41,436.42,1492,1962.89
0.52,134.39,78.99,442.02,1467.61,2053.96
0.53,132.04,80.22,441.12,1387.1,2189.93
0.54,130.15,81.31,442.94,1349.98,2305.28
0.55,127.32,80.76,462.21,1266.01,2660.73
0.56,123.99,79.55,454.96,1243.65,2809.83
0.57,121.11,78.72,418.66,1261.4,2823.34
0.58,118.88,77.54,392.48,1175.52,2980.06
0.59,116.08,75.62,382.74,1232.79,3028.97
0.6,116.5,75.27,427.75,1172.79,3052.17
0.61,119.81,77.12,423.26,1062.5,2926.95
0.62,119.94,80.22,457.85,966.27,2723.71
0.63,118.99,83.88,551.54,1031.16,2694.6
0.64,118.18,85.75,584.9,1221.31,2718.3
0.65,117.21,85.84,599.28,1313.95,2533.11
0.66,116.11,85.21,608,1396.15,2495.06
0.67,115.23,84.56,604.97,1472.9,2435.27
0.68,114.27,83.69,602.36,1535.11,2534.9
0.69,113.03,82.76,592.59,1617.42,2513.21
0.7,111.23,81.96,581.07,1631.47,2363.01
0.71,109.6,81.19,566.09,1786.86,2276.39
0.72,107,80.38,533.95,1827.84,2304.72
0.73,103.89,79.3,531.38,1856.67,2274.95
0.74,101.18,77.91,500.85,1913.78,2245.1
0.75,99.49,76.27,476.17,2020.43,2044.33
0.76,98.32,74.73,425.36,1822.62,2193.77
0.77,97.92,73.28,400.49,1740.21,2190.24
0.78,97.78,70.37,408.14,1902.6,2427.98
0.79,97.36,69.07,434.51,1903.4,2507.77
0.8,97.27,70.38,513.29,1914.64,2811.32
0.81,98.37,69.97,502.69,1851.01,2681.17
0.82,99.99,68.53,396.47,1882.32,2605.74
