time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,61.41,106.11,1771.49,3023.6
0.04,0,61.15,1984.27,3039.04,3866.96
0.05,0,60.37,2067.05,3233.82,4342.39
0.06,0,58.44,174.24,1928.2,3125.77
0.07,0,54.62,1536.72,2950.88,4052.99
0.08,0,53.28,118.49,1972.38,3040.68
0.09,0,60.29,115.97,1962.11,2978.35
0.1,0,66.41,2113.29,3005.82,4113.94
0.11,0,67.3,1795.19,2927.93,3803.14
0.12,0,65.34,1741.63,2793.24,3955.62
0.13,0,64.08,1942.34,2949.97,3836.59
0.14,0,64.18,1964.41,3150.39,4241.42
0.15,0,62.85,1837.42,2614.45,3738.37
0.16,0,62.98,623.09,2023.82,2906.48
0.17,159.82,69.43,372.5,1892.37,2661.65
0.18,155.51,77.12,417.17,1926.32,2432.55
0.19,150.69,79.86,452.12,1906.09,2434.61
0.2,151.7,79.82,452.67,1986.4,2453.98
0.21,152.84,79.92,453.28,2079.81,2496.54
0.22,153.6,79.16,441.62,2166.3,2534.75
0.23,153.98,77.01,390.71,2241.05,2466.18
0.24,146.72,75.17,386.6,2302.72,2445.6
0.25,145.17,73.23,416.34,2227.94,2810.32
0.26,144.5,70.01,418.35,2198.2,2666.21
0.27,0,67.32,422.86,2232.1,2727.5
0.28,0,65.48,473.96,2175.33,2819.84
0.29,0,62.58,424.59,2196.87,2395.91
0.3,0,62.25,483.68,2199.85,2757.55
0.31,0,66.38,683.76,2169.88,2751.63
0.32,0,68.34,559.13,2001.68,2825.72
0.33,191.06,72.16,449.03,2138.91,2874.64
0.34,176.7,77.45,364.06,2286.55,2847.05
0.35,171.78,78.88,398.71,2194.76,2604.86
0.36,169.45,77.87,446.98,2313.48,2739.58
0.37,168.12,77.06,467.53,2408.27,2792.18
0.38,167.51,77.23,461.06,2405.1,3069.81
0.39,167.1,77.08,481.93,2403.67,2938.16
0.4,166.77,75.58,486.44,2326.87,3202.61
0.41,166.99,73.86,490.08,2347.78,2982.8
0.42,167.41,72.95,555.03,2371.92,3247.99
0.43,166.6,73.06,561.23,2266.27,2765.27
0.44,165.19,74.45,599.26,2143.35,2507
0.45,160.78,76.23,636.93,2023.8,2454.91
0.46,0,77.33,661.13,1924.06,2410.21
0.47,0,77.45,715.54,1800.77,2350.97
0.48,0,77.6,716.49,1695.86,2357.36
0.49,0,78.37,792.98,1630.03,2406.42
0.5,135.21,79.85,798.47,1535.75,2403.26
0.51,133.81,81.71,806.65,1471.36,2438.6
0.52,132.45,83.04,791.22,1364.81,2448.79
0.53,131.14,83.12,775.94,1328.39,2552.63
0.54,130.34,81.84,763.98,1235.37,2623.79
0.55,130.48,79.42,751.58,1073.11,2627.15
0.56,131.28,76.73,691.37,1140.81,2697.01
0.57,0,75.47,658.27,1279.58,2721.24
0.58,0,74.24,749.33,1361.5,2578.9
0.59,0,71.43,640.35,1295.88,2577.82
0.6,0,67.35,596.29,1287.99,2581.93
0.61,0,64.89,662.65,1195.65,2481.55
0.62,0,63.62,776.23,1377.13,2590.54
0.63,0,64.96,1073.77,1158.57,2521.4
0.64,134.13,66.25,822.07,1386.19,2541.64
0.65,133.39,66.63,779.73,1717.75,2663.07
0.66,133.07,66.99,539.29,1412.61,2499.86
0.67,132.52,68.71,601.32,1325.99,2534.04
0.68,130.77,70.82,464.44,1668.3,2619.24
0.69,126.48,73.11,420.02,1092.36,2624.35
0.7,121.51,75.85,574.39,1149.4,2837.23
0.71,117.72,78.34,644.83,1219.02,2674.85
0.72,115.54,79.48,693.09,1324.59,2528.77
0.73,114,80.25,740.1,1395.63,2621.16
0.74,113.35,81.34,766.41,1439.15,2509.24
0.75,113.15,81.8,775.85,1457.85,2573.7
0.76,112.9,82.15,773.03,1493.45,2473.97
0.77,112.26,82.62,769.3,1531.1,2432.1
0.78,111.6,82.4,765.04,1526.32,2445.99
0.79,111.05,81.93,767.29,1521.49,2485.78
0.8,110.46,81.54,766.71,1519.72,2504.28
0.81,109.75,80.37,760.49,1496.34,2493.83
0.82,108.47,77.81,739.25,1459.28,2548
0.83,107.2,76.06,726.14,1430.04,2662
