longest_time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0.01,13.84875,358.482375,1015.072875,1399.12425
0.02,35.1613125,706.54955625,1664.06945625,2357.0823375
0.03,46.779721875,1005.0640059375,2101.1310759375,2986.491785625
0.04,52.86722203125,1117.11557826563,2429.81171676563,3240.02323209375
0.05,55.7822221171875,729.813818046094,2296.16769422109,3171.50477765156
0.06,57.9074721644531,985.311974925352,2411.2146068216,3398.03600270836
0.07,59.8177346904492,1154.15558620894,2430.83478375188,3453.8996764896
0.08,61.1035040797471,1159.16269741492,2521.49863106353,3467.57419706928
0.09,62.1189272438609,840.355608578205,2373.80587208494,3287.6184333881
0.1,63.3332849841235,1042.53808471801,2502.19272964672,3410.16538836346
0.11,64.4860567412679,1192.50369659491,2531.8791263057,3315.9070885999
0.12,65.3304562076974,1403.6229081272,2615.80226946813,3376.18477372995
0.13,65.5158759142336,1157.41534946996,2440.77374820747,3197.47412555147
0.14,65.3253567528285,928.860192208478,2314.35581151411,3057.51664405331
0.15,65.1699462140557,948.861480714663,2386.31157133276,3149.05940422932
0.16,65.9765954177306,979.112064393065,2370.76223923302,3144.17267232613
0.17,68.6848774797518,964.802260416186,2310.06973157816,3061.91596977937
0.18,72.1960576138635,907.841368228902,2240.51110236799,2993.28378337865
0.19,75.071081687625,823.973127525896,2150.26535630239,2892.55183085826
0.2,77.0505949281937,777.128970139243,2080.85607096632,2843.36600697204
0.21,78.7603272105065,771.861058576584,2024.32546403147,2810.19942883462
0.22,80.8076799657786,733.757957217121,1986.54550521731,2799.54706085904
0.23,82.7504739811782,741.285126469417,1936.30727786952,2788.52675847247
0.24,84.257760689648,755.714319558179,1887.40475282824,2766.00346715986
0.25,85.1970183793064,763.425375756999,1862.47036405553,2770.04178193792
0.26,85.6247351086185,764.604206666349,1847.48970023054,2767.63573006586
0.27,85.7744793097402,756.407813666492,1843.6952101268,2763.93865153622
0.28,85.6937136203571,740.573297516571,1857.52924056974,2770.56100834492
0.29,84.9731674911964,718.241688634114,1887.16770731336,2790.41005458971
0.3,83.157117120158,702.843053748763,1903.93798902235,2827.25603002434
0.31,80.7284144160869,711.231929561819,1915.99889396229,2876.55981651339
0.32,78.2845029288478,742.276561259001,1911.92689167926,2885.07952408236
0.33,76.1461016108663,756.430608692451,1906.93554042359,2875.1752382453
0.34,74.2218558859765,715.281209780848,1896.74279723298,2856.85000603492
0.35,72.6696457372871,710.406040379466,1931.82466347814,2903.9368783192
0.36,71.7911801555079,711.631822208706,2017.47781491298,2985.28140807556
0.37,71.4047740855293,751.211877214789,2086.13417320214,3029.46402444156
0.38,71.3250007470411,827.343157468134,2245.88792026118,3100.95708844286
0.39,71.4217504108726,809.028986607474,2365.58210614365,3164.28802364357
0.4,71.67971272598,926.21619263411,2397.43778337901,3233.94103800397
0.41,72.289591999289,1281.44678094876,2558.70303085845,3400.44057090218
0.42,73.1031505996089,1460.93860452182,2666.38891697215,3475.0075639962
0.43,73.6271078297849,1536.671982487,2762.42502933468,3509.16141019791
0.44,74.2235343063817,1699.46196536785,2851.72864113408,3597.75227560885
0.45,74.5099438685099,1657.71458095232,2858.33187762374,3611.53925158487
0.46,73.9294691276805,1592.94514452378,2906.07378269306,3666.23258837168
0.47,73.2907080202243,1721.15345448808,3016.78783048118,3810.73542360442
0.48,72.9157644111233,1760.89702496844,3051.62218176465,3910.63748298243
0.49,72.7421704261178,1784.15548873264,3081.69582497056,4024.50661564034
0.5,72.6995687343648,1728.06164380295,3109.30182873381,4071.94601360219
0.51,72.9675128039007,1611.47490409162,2981.41325580359,4007.1196824812
0.52,73.8416320421454,1265.39569725039,2642.80029069198,3761.05645036466
0.53,75.99189762318,948.597633487717,2215.50828488059,3443.23542270056
0.54,77.804543692749,873.215823418244,2095.00693168432,3373.15223248531
0.55,78.5618740310119,857.472202880034,2039.53793742638,3363.84747786692
0.56,79.3687807170566,703.045836584019,1832.95399058451,3213.30111282681
0.57,79.9532043943811,608.579210121211,1701.13931982148,3089.97248705474
0.58,80.2723874169096,541.896315566666,1616.42150090181,2984.00536788011
0.59,80.7393130793003,485.719973561666,1563.636950496,2905.38007733406
0.6,81.2807471936152,430.519610458916,1544.9149477728,2868.35966753373
0.61,81.6584109564883,387.535785752404,1519.73409627504,2823.24506714355
0.62,81.7986260260686,357.086182163822,1500.10887795127,2799.50641192895
0.63,81.8228693143377,338.466900190102,1503.0850078732,2806.29852656092
0.64,81.6708281228858,328.464795104556,1541.48912933026,2816.57718960851
0.65,81.0584554675872,320.405387307506,1539.56239613164,2851.18795428468
0.66,79.894775507173,318.678338019128,1555.1808178724,2938.79487485657
0.67,78.3536265289451,324.441335910521,1622.36432482982,2984.81193117112
0.68,77.1437445909198,326.490484750786,1659.9103786564,3025.95343714411
0.69,75.9203095250059,326.368766612933,1676.27558326102,3101.39101542926
0.7,74.5285452387533,325.513196637113,1712.07282079356,3213.48555848609
0.71,73.5549498813143,281.546758150412,1745.15330143646,3216.81530716735
0.72,72.6122224347229,514.847341982727,2061.19019079005,3496.32929394204
0.73,72.1825973390976,423.6335380905,2066.17497993453,3446.85548666812
0.74,72.2343035365037,560.571445949775,2225.24436396399,3577.81989266747
0.75,72.303241945077,746.357795272376,2371.1976501802,3649.37556596711
0.76,73.0172830697924,730.936162399807,2304.37595759911,3597.70406128191
0.77,74.4146306883858,551.665764319894,2150.81865167951,3361.51635870505
0.78,76.1619218786122,451.719295375942,2075.41275842373,3205.36462228778
0.79,78.0173070332367,405.840987456768,2078.20264213305,3120.40704225828
0.8,79.8151438682802,382.184043101222,2113.00107817318,3043.03087324205
0.81,81.3417041275541,372.369973705672,2165.69784299525,2996.27210528313
0.82,82.5120622701548,366.00361053812,2237.82143864739,2964.95565790572
0.83,83.3053842485851,360.780860795966,2309.89166625606,2951.70173684815
0.84,83.7540863367218,356.990348437781,2367.96341644084,2952.86870526648
0.85,83.906372485197,354.12594164078,2424.71700404246,2964.78978789657
0.86,83.7482548668584,351.189267902429,2472.52747722335,2969.68250834311
0.87,83.3845401767721,347.043972346336,2516.25286247284,2968.06362958871
0.88,82.9651220972247,342.223809790485,2540.37719936006,2956.48574627379
0.89,82.4655671534736,335.790470384767,2558.60008464804,2953.70441045059
0.9,81.9219369344105,331.028133711622,2576.84754655642,2953.13430074782
0.91,81.1965653139258,326.648223541392,2588.12227560603,2931.5661154113
0.92,80.2564859226592,322.343647947766,2596.22462658332,2922.57011347622
0.93,79.1938172574625,318.445006371271,2590.68979462082,2911.53156241192
0.94,78.0063494916044,315.112753504199,2584.04451204145,2901.29110932656
0.95,76.8942422203824,310.95801442731,2582.6947316228,2890.00798512961
0.96,76.0137082212103,308.14978293502,2578.49747739254,2887.70826682128
0.97,75.2425395216657,306.780755614261,2569.4356125659,2881.00067175171
0.98,74.5303967369161,307.870540587844,2556.99058691124,2884.95586946344
0.99,73.7922182053039,308.999797323314,2535.82682280118,2894.27947820489
1,73.0700950129171,310.574888527823,2504.10550254065,2897.27221301269
1.01,72.2859272571044,310.702063690303,2454.36677639736,2894.68259215698
1.02,71.3787599914074,308.907885029666,2398.54122701855,2913.22367568634
1.03,70.6176929952741,310.330836766317,2348.7144248602,2949.60677162749
1.04,69.5949811474008,455.447585221474,2374.08118367311,3061.18797439512
1.05,68.2078646310704,524.208671871811,2350.08777602021,3124.18663591731
1.06,66.5843255470887,623.042769529496,2337.70027681112,3215.37614975452
1.07,65.7386290508988,777.117023241223,2423.32277724611,3379.69425736499
1.08,65.7279959779943,1115.36536278267,2612.80865248536,3621.57071655074
1.09,66.0461477878969,1297.94257453047,2694.96800886695,3761.52601910291
1.1,66.5541312833433,1583.38991599176,2875.73840487682,3952.5561855066
1.11,67.1743972058388,1739.27332879547,2972.21349768225,4001.15115202863
