longest_time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0.01,20.590875,212.506875,884.665125,1290.484125
0.02,38.78735625,588.20315625,1440.51181875,2194.82139375
0.03,49.1947959375,1011.1207359375,2007.9340003125,3043.4555165625
0.04,54.738887765625,1323.73765476562,2376.93220017188,3449.09090910938
0.05,58.1425132710938,1394.99508512109,2494.20571009453,3564.16675001016
0.06,60.6175072991016,1337.1835468166,2502.74751555199,3495.81433750559
0.07,61.5310040145059,1152.00132574913,2375.9251335536,3505.38951062807
0.08,61.6678022079782,1221.41660416202,2429.23994845448,3619.09123084544
0.09,61.929791214388,1308.32325728911,2502.07247164996,3682.72517696499
0.1,62.0671351679134,1075.34104150901,2323.82973440748,3517.89009733075
0.11,63.2845493423524,1213.84494782996,2509.10160392411,3688.62342853191
0.12,64.7067521382938,943.038346306476,2329.57563215826,3424.83638569255
0.13,65.2695886760616,1069.44184046856,2417.80122268705,3529.9591371309
0.14,65.4396487718339,952.609762257709,2326.15929747788,3243.289275422
0.15,65.7311818245086,706.41936924174,2225.12336361283,3053.2152264821
0.16,66.2099000034798,580.990028082957,2233.34109998706,2931.46649956515
0.17,67.0694450019139,503.612515445626,2220.52010499288,2864.67682476084
0.18,68.2903197510526,484.420008495095,2240.50005774609,2850.08925361846
0.19,69.8820508630789,491.940629672302,2236.24978176035,2823.79046449015
0.2,71.3661279746934,507.076096319766,2185.27837996819,2782.25525546958
0.21,72.6841203860814,533.903477975872,2128.90198398251,2739.43539050827
0.22,73.7847662123448,555.020412886729,2077.80021619038,2702.38671477955
0.23,74.3946214167896,576.399727087701,2053.79149390471,2693.84381812875
0.24,74.7289167792343,591.957474898236,2026.83019664759,2693.74872497081
0.25,74.7811542285789,604.36848619403,1999.00660815617,2689.14692373395
0.26,74.4847598257184,599.997417406716,1971.0462594859,2687.90518305367
0.27,73.7806179041451,582.615079573694,1959.54144271724,2682.02247567952
0.28,72.9512148472798,581.619418765532,1959.69154349448,2673.87411162374
0.29,72.1136681660039,554.436305321042,1956.42609892197,2687.70413639306
0.3,70.9375174913022,555.931967926573,1949.09060440708,2731.30952501618
0.31,69.8946346202162,577.182332359615,1937.3194574239,2749.3367387589
0.32,69.2141740411189,580.034282797789,1925.57582658314,2755.57070631739
0.33,68.4202957226154,586.092730538784,1931.13295462073,2750.46401347457
0.34,67.6011626474385,561.019751796331,1932.9237500414,2742.98770741101
0.35,67.1303894560912,562.978488487982,1956.86318752277,2793.40448907606
0.36,66.6813392008502,542.94291866839,1916.94000313752,2738.71509399183
0.37,65.5883615604676,714.587355267615,2070.14700172564,2979.76317669551
0.38,64.6350988582572,701.460920397188,1978.9704759491,2928.74187218253
0.39,64.3245543720414,789.704381218453,1960.40776177201,2931.23515470039
0.4,63.9332549046228,785.087659670149,1912.5141439746,2877.04496008522
0.41,63.4075401975425,672.198337818582,1812.66852918603,2819.23910304687
0.42,63.0767721086484,649.93083580022,1873.14469105232,2929.33313167578
0.43,62.8284746597566,529.149334690121,1825.50333007877,2895.11147242168
0.44,63.1734110628661,553.312384079567,1824.08095654333,2998.67268483192
0.45,63.8300010845764,517.031186243762,1742.94102609883,2995.45622665756
0.46,64.499375596517,634.887902434069,1793.16956435436,3084.89204966166
0.47,64.8360315780844,811.940221338738,1894.9901353949,3270.80750231391
0.48,64.5070673679464,751.885371736306,1883.74119946719,3229.43787627265
0.49,64.5657620523705,811.648579454968,1832.01653470696,3238.97433194996
