time,smoothed_intensity,smoothed_f1,smoothed_f2,smoothed_f3
0,26.839125,605.917125,1187.173125,1654.822125
0.01,37.773866953125,675.070043203125,1460.40726445313,2016.87630257812
0.02,45.8284839609375,722.628510960938,1694.00532058594,2319.84390564844
0.03,51.5890062755859,763.032572738086,1884.91512374121,2575.09429616777
0.04,55.6140720445313,815.244487994531,2024.47596983203,2793.12748465078
0.05,57.8833677716309,903.784509774756,2099.39753620679,2986.53265299155
0.06,59.2166780678233,966.319869383886,2155.80373707828,3053.71119074635
0.07,59.8547790768122,978.231410865411,2189.04212913043,3034.03930846291
0.08,60.1359337027143,885.545804547452,2176.24437419566,3030.80808270849
0.09,60.493475506973,935.835226582199,2187.06443214442,3165.4687255685
0.1,61.1163693625993,948.886887114815,2225.14089591467,3267.04360310603
0.11,61.9929605048749,902.086212050806,2263.29881384495,3301.37387869779
0.12,62.9182916252906,843.196874592624,2175.428166938,3255.96747837618
0.13,63.9560650644047,727.534314301655,2075.39141607268,3161.72123379486
0.14,65.0432302291948,698.999770542552,2053.09212093121,3145.85569059055
0.15,66.1348580232568,794.491501114306,2129.70566427172,3240.69513955166
0.16,66.991165347791,836.445964399389,2166.39736669726,3285.79850508096
0.17,67.7196188347449,848.359574974661,2195.57547357625,3303.1081097068
0.18,68.4724932005126,806.413515741311,2203.42747688295,3304.86841476549
0.19,69.3499786043035,693.830326666858,2177.76548436131,3295.81920157136
0.2,70.4321777627667,647.69729809357,2015.84286355939,3167.77954818708
0.21,71.4321357149836,621.195756356488,1934.67735663054,3105.73625065058
0.22,72.340185825745,607.121380568832,1901.83358387938,3081.40229988905
0.23,73.1349555243051,598.421960831663,1884.72431194617,3065.87210083405
0.24,73.86273926687,599.84296295681,1581.34587904207,2960.51820184153
0.25,74.5968846162047,584.202666179038,1374.87642570755,2877.61457832026
0.26,75.317598199597,553.525466502506,1262.20730049309,2820.00009134522
0.27,75.9732073285075,513.314837117954,1203.64246734395,2783.58386949697
0.28,76.4389952096805,496.003414768969,1159.88104259633,2747.7140165682
0.29,76.8196063887751,507.303660048935,1196.83449579692,2724.85849363969
0.3,77.1165197267242,537.899971836215,1271.90238342872,2712.80234674178
0.31,77.2671972267967,550.060233395798,1185.32217111041,2696.3897532849
0.32,77.2972364387071,547.232527587804,1145.12644626796,2675.39036311054
0.33,77.2364881558468,538.644334666231,1111.11844749323,2656.55867459979
0.34,77.0916698237226,533.204689787543,1101.02557349649,2654.02541846883
0.35,76.8652667342034,579.92575526155,1348.68741726969,2761.76314828322
0.36,76.6832867365906,619.899204165467,1515.85726908595,2824.26838264719
0.37,76.5929398012782,619.293216037269,1534.82434484859,2821.18904785311
0.38,76.6255226685873,559.721454005943,1367.20276918495,2740.47232001265
0.39,76.7495381319123,527.206446371837,1268.85439659506,2684.85835387692
0.4,76.8666558691382,506.197521575255,1210.28011225293,2642.54329796057
0.41,76.9447623430235,492.8963283928,1179.08472069572,2611.46424750574
0.42,76.9476375675543,484.315855770983,1165.75501517478,2590.74103517155
0.43,76.8218143629035,472.245232263566,1152.04911295976,2581.12323752694
0.44,76.6842321537587,464.9942603692,1149.93218200912,2568.35038642148
0.45,76.5247530087313,474.538535912016,1188.45627549283,2569.74993797736
0.46,76.3146172765563,524.086984670186,1324.4507124985,2619.36493315417
0.47,75.9069528053962,496.963843496029,1299.02932239997,2589.54017847984
